source,target
Please tell the ferret and the cat to question me,me question to cat the and ferret the tell Please
Do not question the ferret or the cat,cat the or ferret the question not Do
I wanted to question the ferret but a cat stopped me,me stopped cat a but ferret the question to wanted I
I wonder why the ferret loves to question the cat,cat the question to loves ferret the why wonder I
The ferret serenades the cat,cat the serenades ferret The
Please tell the ferret and the cat to serenade me,me serenade to cat the and ferret the tell Please
Do not serenade the ferret or the cat,cat the or ferret the serenade not Do
I wanted to serenade the ferret but a cat stopped me,me stopped cat a but ferret the serenade to wanted I
I wonder why the ferret loves to serenade the cat,cat the serenade to loves ferret the why wonder I
The ferret bites the cat,cat the bites ferret The
Please tell the ferret and the cat to bite me,me bite to cat the and ferret the tell Please
Do not bite the ferret or the cat,cat the or ferret the bite not Do
I wanted to bite the ferret but a cat stopped me,me stopped cat a but ferret the bite to wanted I
I wonder why the ferret loves to bite the cat,cat the bite to loves ferret the why wonder I
The ferret hugs the cat,cat the hugs ferret The
Please tell the ferret and the cat to hug me,me hug to cat the and ferret the tell Please
Do not hug the ferret or the cat,cat the or ferret the hug not Do
I wanted to hug the ferret but a cat stopped me,me stopped cat a but ferret the hug to wanted I
I wonder why the ferret loves to hug the cat,cat the hug to loves ferret the why wonder I
The ferret defends the cat,cat the defends ferret The
Please tell the ferret and the cat to defend me,me defend to cat the and ferret the tell Please
Do not defend the ferret or the cat,cat the or ferret the defend not Do
I wanted to defend the ferret but a cat stopped me,me stopped cat a but ferret the defend to wanted I
I wonder why the ferret loves to defend the cat,cat the defend to loves ferret the why wonder I
The ferret saves the cat,cat the saves ferret The
Please tell the ferret and the cat to save me,me save to cat the and ferret the tell Please
Do not save the ferret or the cat,cat the or ferret the save not Do
I wanted to save the ferret but a cat stopped me,me stopped cat a but ferret the save to wanted I
I wonder why the ferret loves to save the cat,cat the save to loves ferret the why wonder I
The ferret paints the cat,cat the paints ferret The
Please tell the ferret and the cat to paint me,me paint to cat the and ferret the tell Please
Do not paint the ferret or the cat,cat the or ferret the paint not Do
I wanted to paint the ferret but a cat stopped me,me stopped cat a but ferret the paint to wanted I
I wonder why the ferret loves to paint the cat,cat the paint to loves ferret the why wonder I
The ferret illustrates the cat,cat the illustrates ferret The
Please tell the ferret and the cat to illustrate me,me illustrate to cat the and ferret the tell Please
Do not illustrate the ferret or the cat,cat the or ferret the illustrate not Do
I wanted to illustrate the ferret but a cat stopped me,me stopped cat a but ferret the illustrate to wanted I
I wonder why the ferret loves to illustrate the cat,cat the illustrate to loves ferret the why wonder I
The scorpion meets the scorpion,scorpion the meets scorpion The
Please tell the scorpion and the scorpion to meet me,me meet to scorpion the and scorpion the tell Please
Do not meet the scorpion or the scorpion,scorpion the or scorpion the meet not Do
I wanted to meet the scorpion but a scorpion stopped me,me stopped scorpion a but scorpion the meet to wanted I
I wonder why the scorpion loves to meet the scorpion,scorpion the meet to loves scorpion the why wonder I
The scorpion likes the scorpion,scorpion the likes scorpion The
Please tell the scorpion and the scorpion to like me,me like to scorpion the and scorpion the tell Please
Do not like the scorpion or the scorpion,scorpion the or scorpion the like not Do
I wanted to like the scorpion but a scorpion stopped me,me stopped scorpion a but scorpion the like to wanted I
I wonder why the scorpion loves to like the scorpion,scorpion the like to loves scorpion the why wonder I
The scorpion dislikes the scorpion,scorpion the dislikes scorpion The
Please tell the scorpion and the scorpion to dislike me,me dislike to scorpion the and scorpion the tell Please
Do not dislike the scorpion or the scorpion,scorpion the or scorpion the dislike not Do
I wanted to dislike the scorpion but a scorpion stopped me,me stopped scorpion a but scorpion the dislike to wanted I
I wonder why the scorpion loves to dislike the scorpion,scorpion the dislike to loves scorpion the why wonder I
The scorpion challenges the scorpion,scorpion the challenges scorpion The
Please tell the scorpion and the scorpion to challenge me,me challenge to scorpion the and scorpion the tell Please
Do not challenge the scorpion or the scorpion,scorpion the or scorpion the challenge not Do
I wanted to challenge the scorpion but a scorpion stopped me,me stopped scorpion a but scorpion the challenge to wanted I
I wonder why the scorpion loves to challenge the scorpion,scorpion the challenge to loves scorpion the why wonder I
The scorpion befriends the scorpion,scorpion the befriends scorpion The
Please tell the scorpion and the scorpion to befriend me,me befriend to scorpion the and scorpion the tell Please
Do not befriend the scorpion or the scorpion,scorpion the or scorpion the befriend not Do
I wanted to befriend the scorpion but a scorpion stopped me,me stopped scorpion a but scorpion the befriend to wanted I
I wonder why the scorpion loves to befriend the scorpion,scorpion the befriend to loves scorpion the why wonder I
The scorpion celebrates the scorpion,scorpion the celebrates scorpion The
Please tell the scorpion and the scorpion to celebrate me,me celebrate to scorpion the and scorpion the tell Please
Do not celebrate the scorpion or the scorpion,scorpion the or scorpion the celebrate not Do
I wanted to celebrate the scorpion but a scorpion stopped me,me stopped scorpion a but scorpion the celebrate to wanted I
I wonder why the scorpion loves to celebrate the scorpion,scorpion the celebrate to loves scorpion the why wonder I
The scorpion swordfights the scorpion,scorpion the swordfights scorpion The
Please tell the scorpion and the scorpion to swordfight me,me swordfight to scorpion the and scorpion the tell Please
Do not swordfight the scorpion or the scorpion,scorpion the or scorpion the swordfight not Do
I wanted to swordfight the scorpion but a scorpion stopped me,me stopped scorpion a but scorpion the swordfight to wanted I
I wonder why the scorpion loves to swordfight the scorpion,scorpion the swordfight to loves scorpion the why wonder I
The scorpion questions the scorpion,scorpion the questions scorpion The
Please tell the scorpion and the scorpion to question me,me question to scorpion the and scorpion the tell Please
Do not question the scorpion or the scorpion,scorpion the or scorpion the question not Do
I wanted to question the scorpion but a scorpion stopped me,me stopped scorpion a but scorpion the question to wanted I
I wonder why the scorpion loves to question the scorpion,scorpion the question to loves scorpion the why wonder I
The scorpion serenades the scorpion,scorpion the serenades scorpion The
Please tell the scorpion and the scorpion to serenade me,me serenade to scorpion the and scorpion the tell Please
Do not serenade the scorpion or the scorpion,scorpion the or scorpion the serenade not Do
I wanted to serenade the scorpion but a scorpion stopped me,me stopped scorpion a but scorpion the serenade to wanted I
I wonder why the scorpion loves to serenade the scorpion,scorpion the serenade to loves scorpion the why wonder I
The scorpion bites the scorpion,scorpion the bites scorpion The
Please tell the scorpion and the scorpion to bite me,me bite to scorpion the and scorpion the tell Please
